Zip Code,Name,Accounts
60531,"Leland, IL",792
60150,"Malta, IL",751
61369,"Toluca, IL",735
61060,"Orangeville, IL",727
61078,"Shannon, IL",727
61031,"Franklin Grove, IL",723
60407,"Braceville, IL",719
60180,"Union, IL",685
61283,"Tampico, IL",677
61377,"Wenona, IL",676
60460,"Odell, IL",674
60913,"Bonfield, IL",652
60550,"Shabbona, IL",622
61353,"Paw Paw, IL",601
61038,"Garden Prairie, IL",588
60935,"Essex, IL",584
61261,"Lyndon, IL",562
60958,"Pembroke Township, IL",560
61370,"Tonica, IL",560
61018,"Dakota, IL",502
60512,"Bristol, IL",486
61070,"Rock City, IL",483
61367,"Sublette, IL",470
61325,"Grand Ridge, IL",466
60541,"Newark, IL",458
60072,"Ringwood, IL",449
61052,"Monroe Center, IL",447
61349,"Ohio, IL",433
61015,"Chana, IL",430
61089,"Winslow, IL",420
60565,"Naperville, IL",406
60474,,400
61039,"German Valley, IL",379
61067,"Ridott, IL",360
61075,"Scales Mound, IL",355
61318,"Compton, IL",349
61068,"Rochelle, IL",340
60553,"Steward, IL",327
61013,,327
61001,"Apple River, IL",323
61769,"Saunemin, IL",318
61319,"Cornell, IL",317
60109,,312
61334,"Lostant, IL",311
60479,"Verona, IL",295
60530,"Lee, IL",277
60470,"Ransom, IL",271
60910,,268
61042,"Harmon, IL",258
61378,"West Brooklyn, IL",251
61516,"Benson, IL",239
60961,"Reddick, IL",238
60666,"Chicago, IL",213
60922,"Chebanse, IL",212
60917,"Buckingham, IL",209
61007,"Baileyville, IL",207
60919,"Cabery, IL",205
61049,"Lindenwood, IL",205
61333,"Long Point, IL",199
61050,"MC Connell, IL",194
61358,"Rutland, IL",180
61254,"Geneseo, IL",178
60029,"Golf, IL",176
61251,"Fenton, IL",173
61044,"Kent, IL",147
61230,"Albany, IL",145
60946,"Kempton, IL",129
61321,"Dana, IL",126
61243,"Deer Grove, IL",125
61313,"Blackstone, IL",122
60111,"Clare, IL",118
60944,,117
61311,"Ancona, IL",114
60129,"Esmond, IL",111
61014,"Chadwick, IL",103
61341,"Marseilles, IL",98
61258,,96
60437,"Kinsman, IL",95
60144,,94
60920,,93
61739,"Fairbury, IL",85
61059,,81
61332,,77
61043,,75
61740,"Flanagan, IL",75
61741,"Forrest, IL",73
60934,"Emington, IL",72
61037,,69
60039,,64
61057,,63
61091,,62
61077,,58
61112,"Rockford, IL",52
60551,"Sheridan, IL",51
61331,,46
61324,,44
61080,"South Beloit, IL",43
61079,,42
61348,"Oglesby, IL",41
61027,,40
60519,,38
60969,,34
61028,"Elizabeth, IL",27
61330,"La Moille, IL",22
61053,"Mount Carroll, IL",21
61350,"Ottawa, IL",18
61738,"El Paso, IL",15
60196,,11
60690,,8
60912,"Beaverville, IL",8
60208,"Evanston, IL",7
60507,,7
60696,,7
60658,,6
60673,,6
60680,,6
61058,,6
60147,,4
60183,,4
60121,,3
60678,,3
60691,,3
60699,,3
61105,,3
61339,,3
61743,"Graymont, IL",3
60001,,2
60011,,2
60088,"Great Lakes, IL",2
60095,,2
60199,,2
60627,,2
60650,,2
60693,,2
60701,,2
61026,,2
62656,"Lincoln, IL",2
60006,,1
60065,,1
60117,,1
60159,,1
60170,,1
60179,,1
60412,,1
60434,,1
60539,"Mooseheart, IL",1
60566,,1
60598,,1
60635,,1
60668,,1
60675,,1
60677,,1
60681,,1
60689,,1
60916,,1
60929,"Cullom, IL",1
61125,,1
61234,"Annawan, IL",1
61242,"Cordova, IL",1
61338,,1
61375,"Varna, IL",1
61554,"Pekin, IL",1
61951,"Sullivan, IL",1
62892,"Vernon, IL",1
